num_reactions,num_comments,num_shares,status_published,engagement_rate
66,1,3,26/01/2018,0.01804147
47,3,1,27/01/2018,0.01314162
71,4,0,28/01/2018,0.019321531
100,34,13,29/01/2018,0.037861129
1091,411,318,30/01/2018,0.468657862
0,0,0,31/01/2018,0
0,0,0,01/02/2018,0
130,15,17,02/02/2018,0.041669024
204,46,33,03/02/2018,0.072773841
43,5,3,04/02/2018,0.013111079
527,119,168,05/02/2018,0.209176528
133,27,44,06/02/2018,0.052398247
0,0,0,07/02/2018,0
0,0,0,08/02/2018,0
90,9,7,09/02/2018,0.027201178
16,2,0,10/02/2018,0.004617338
39,1,4,11/02/2018,0.011284048
122,16,18,12/02/2018,0.039993027
103,14,4,13/02/2018,0.031009023
180,37,75,14/02/2018,0.074807345
53,5,2,15/02/2018,0.015366019
50,10,3,16/02/2018,0.016126473
4,1,0,17/02/2018,0.001279397
31,7,0,18/02/2018,0.009719888
36,32,4,19/02/2018,0.018413851
0,0,0,20/02/2018,0
0,0,0,21/02/2018,0
0,0,0,22/02/2018,0
0,0,0,23/02/2018,0
0,0,0,24/02/2018,0
