replies_count,retweets_count,likes_count,timestamp,engagement_rate
2,0,0,26/01/2018,0.007688463
0,0,0,27/01/2018,0
0,0,0,28/01/2018,0
3,0,0,29/01/2018,0.011512779
10,0,0,30/01/2018,0.038352382
0,0,0,31/01/2018,0
4,0,1,01/02/2018,0.019151952
5,8,8,02/02/2018,0.080407397
0,0,0,03/02/2018,0
0,0,0,04/02/2018,0
3,0,3,05/02/2018,0.022941919
1,0,1,06/02/2018,0.007643799
0,0,0,07/02/2018,0
0,0,0,08/02/2018,0
1,6,9,09/02/2018,0.061066372
0,0,0,10/02/2018,0
0,0,0,11/02/2018,0
4,9,7,12/02/2018,0.076228227
0,0,0,13/02/2018,0
4,10,22,14/02/2018,0.137085412
2,3,12,15/02/2018,0.064702748
0,0,0,16/02/2018,0
0,0,0,17/02/2018,0
0,0,0,18/02/2018,0
2,5,13,19/02/2018,0.076039845
3,0,0,20/02/2018,0.011402942
0,0,0,21/02/2018,0
0,0,0,22/02/2018,0
3,0,0,23/02/2018,0.011393847
0,0,0,24/02/2018,0
